k,inertia,silhouette,davies_bouldin,calinski_harabasz
6,2010.0657958984375,0.5385717,0.5389002020919152,176673.83935232394
7,1480.3262939453125,0.5375298,0.5224926392928728,202917.35420105018
8,1195.599365234375,0.53127706,0.5150726731701225,217060.567386705
9,952.9610595703125,0.5293713,0.5191175466833389,239887.4150235141
10,798.7567138671875,0.5301285,0.5179183657878396,255477.34142606266
11,671.5850830078125,0.5310362,0.5214539940318252,274421.70152169303
12,576.337158203125,0.53509855,0.4984022807170319,291455.6479888829
13,486.493408203125,0.5347935,0.5001601371579744,317275.36781442404
14,421.0560302734375,0.53456634,0.49183161513785423,338979.1937053287
15,367.2318420410156,0.5354198,0.48964966130892196,361416.4075124448
16,324.396728515625,0.5306225,0.49281648235171827,382313.6298115064
17,283.3430480957031,0.52718073,0.49311807791733303,410804.6322904554
18,247.47674560546875,0.53354603,0.4910215221147718,443096.42643836857
